ID,Groups,Description,Baseline [02-26 18:04],[02-26 18:14],[02-26 18:22],[02-26 18:27],[02-26 18:38],[02-26 18:46],[02-26 18:53],[02-26 19:00],[02-26 19:00],[02-26 19:09],[02-26 19:16],[02-26 21:18],[02-26 21:31],[02-26 22:05],[02-26 22:09],[02-27 04:01],[02-27 04:03],[02-27 05:28],[02-27 05:34],[02-27 05:40],[02-27 05:52],[02-27 06:06],[02-27 06:11],[02-27 06:13],[02-27 06:23],[02-27 06:33],[02-27 07:03],[02-27 07:12],[02-27 07:33],[02-27 07:35],[02-27 07:43],[02-27 07:51],[02-27 08:00],[02-27 08:10],[02-27 10:35],[02-27 10:43],[02-27 11:01],[02-27 11:05],[02-27 11:13],[02-27 11:21],[02-27 11:28],[02-27 11:29],[02-27 11:35],[02-27 11:38],[02-27 12:12],[02-27 13:43],[02-27 13:55],[06-05 11:09],[06-07 13:36]
G-FLP-29,Flutter Pattern Generation > RC-9e: Generic num bound preservation,LayoutBuilderLike<T extends num> does not extract T as dynamic. [2026-02-27] (FAIL),--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,--/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X
G-FLP-44,Flutter Pattern Generation > RC-1c: External default gaps,Imported nested callback typedef argument shape is preserved. [2026-02-27] (FAIL),--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,--/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X
G-DOV3-1,Dart Overview Failures Round 3,Extension type getter access [2026-02-10] (FAIL),OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X
G-FLP-03,Flutter Pattern Generation > RC-1: Non-wrappable defaults,"const SimpleValue(0, 0) default uses non-nullable type. [2026-02-26] (FAIL)",--/X,--/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,--/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X
G-FLP-05,Flutter Pattern Generation > RC-1: Non-wrappable defaults,Static access defaults remain wrappable. [2026-02-26] (FAIL),--/X,--/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,--/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X
G-FLP-52,Flutter Pattern Generation > RC-8.2: Callback return type preservation,Raw recursive RenderObject-bound generic method arg uses dynamic extraction. [2026-02-27] (FAIL),--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,--/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X
G-FLP-46,Flutter Pattern Generation > RC-1c: External default gaps,Imported generic nullable predicate keeps T? parameter. [2026-02-27] (FAIL),--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,--/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X
G-FLP-53,Flutter Pattern Generation > RC-8.2: Callback return type preservation,Inherited mixin method signature should win over broad superclass signature. [2026-02-27] (FAIL),--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,--/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X
GEN-055c,Cross-file type resolution (GEN-055),BridgeRegistry.register uses correct prefix for Interpreter. [2026-02-14] (FAIL),OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,--/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X
D4G-EXE-5,D4G-EXE: D4rtgen Executor,"test runner imports use pubspec package name, not d4rtgen name. [2026-02-27] (FAIL)",--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,--/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,--/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X,OK/X
